Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
flower-beautiful-pink,Flower Beautiful Pink Variable,"<div class=""container container-v2 py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0356/9595/2004/files/product-detail-1.jpg?v=1583997338"" alt=""""></div>
<div class=""col-md-6 info1"">
<div>
<h3>Adjustable Hook &amp; <br> Loop fastener</h3>
<p>Fusce fermentum odio nec arcu. Praesent vestibulum dapibus nibh. Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Phasellus dolor.</p>
<a href=""#"">Buy now</a>
</div>
</div>
</div>
</div>
<div class=""container container-v2 py-4""><br></div>
<div class=""container container-v2 py-4"">
<div class=""row"">
<div class=""col-md-6 info2"">
<div>
<h3>Adjustable Hook &amp; <br> Loop fastener</h3>
<p>Fusce fermentum odio nec arcu. Praesent vestibulum dapibus nibh. Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Phasellus dolor.</p>
<a href=""#"">Buy now</a>
</div>
</div>
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0356/9595/2004/files/product-detail-2.jpg?v=1583997338"" alt=""""></div>
</div>
</div>",Floril,"","$100-$200, BIG, LightSalmon, Red, SMALL, Yellow",true,Color,Red,Size,small,,,"",0,,0,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0356/9595/2004/products/14_9eaae29d-a332-4f36-b110-567d0ba7e3e7.jpg?v=1584514226,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/14_9eaae29d-a332-4f36-b110-567d0ba7e3e7.jpg?v=1584514226,kg,,
flower-beautiful-pink,,,,,,,,Red,,big,,,"",0,,0,deny,manual,160.00,,true,true,"",https://cdn.shopify.com/s/files/1/0356/9595/2004/products/3.jpg?v=1584514226,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/14_9eaae29d-a332-4f36-b110-567d0ba7e3e7.jpg?v=1584514226,kg,,
flower-beautiful-pink,,,,,,,,Yellow,,small,,,"",0,,0,deny,manual,160.00,,true,true,"",https://cdn.shopify.com/s/files/1/0356/9595/2004/products/13_b1f7813e-a3f8-4017-9d8d-b62fb39419a4.jpg?v=1584514226,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/3.jpg?v=1584514226,kg,,
flower-beautiful-pink,,,,,,,,Yellow,,big,,,"",0,,0,deny,manual,170.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/3.jpg?v=1584514226,kg,,
flower-beautiful-pink,,,,,,,,LightSalmon,,small,,,"",0,,0,deny,manual,170.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/13_b1f7813e-a3f8-4017-9d8d-b62fb39419a4.jpg?v=1584514226,kg,,
flower-beautiful-pink,,,,,,,,LightSalmon,,big,,,"",0,,0,deny,manual,180.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/13_b1f7813e-a3f8-4017-9d8d-b62fb39419a4.jpg?v=1584514226,kg,,
flower-beautiful,Flower Beautiful Simple,"<div class=""container container-v2 py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0356/9595/2004/files/product-detail-1.jpg?v=1583997338"" alt=""""></div>
<div class=""col-md-6 info1"">
<div>
<h3>Adjustable Hook &amp; <br> Loop fastener</h3>
<p>Fusce fermentum odio nec arcu. Praesent vestibulum dapibus nibh. Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Phasellus dolor.</p>
<a href=""#"">Buy now</a>
</div>
</div>
</div>
</div>
<div class=""container container-v2 py-4""><br></div>
<div class=""container container-v2 py-4"">
<div class=""row"">
<div class=""col-md-6 info2"">
<div>
<h3>Adjustable Hook &amp; <br> Loop fastener</h3>
<p>Fusce fermentum odio nec arcu. Praesent vestibulum dapibus nibh. Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Phasellus dolor.</p>
<a href=""#"">Buy now</a>
</div>
</div>
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0356/9595/2004/files/product-detail-2.jpg?v=1583997338"" alt=""""></div>
</div>
</div>",Floril,"","$100-$200, Crimson, DarkOliveGreen, DeepPink, LightSkyBlue, Pink, white",true,Title,Default Title,,,,,"",0,,0,deny,manual,150.00,160.00,true,true,"",https://cdn.shopify.com/s/files/1/0356/9595/2004/products/1.jpg?v=1584514464,1,,false,,,,,,,,,,,,,,,,,kg,,
flower-beautiful,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/6.jpg?v=1584514464,2,,,,,,,,,,,,,,,,,,,,,
flower-beautiful,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0356/9595/2004/products/11_3c63dc71-39a3-44f6-8137-4771bdc63e92.jpg?v=1584514399,3,,,,,,,,,,,,,,,,,,,,,
flower-beautiful-1,Flower Beautiful,"<div class=""container container-v2 py-4"">
<div class=""row"">
<div class=""col-md-6""><a> <img src=""//cdn.shopify.com/s/files/1/0291/8242/7276/files/product-detail-1.jpg?v=1577700475"" alt=""""> </a></div>
<div class=""col-md-6 info1"">
<div>
<h3>Adjustable Hook &amp; <br> Loop fastener</h3>
<p>Fusce fermentum odio nec arcu. Praesent vestibulum dapibus nibh. Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Phasellus dolor.</p>
<a href=""#"">Buy now</a>
</div>
</div>
</div>
</div>
<a class=""d-block py-3""> <img src=""//cdn.shopify.com/s/files/1/0291/8242/7276/files/product-detail-small.jpg?v=1577700751"" alt=""""> </a>
<div class=""container container-v2 py-4"">
<div class=""row"">
<div class=""col-md-6 info2"">
<div>
<h3>Adjustable Hook &amp; <br> Loop fastener</h3>
<p>Fusce fermentum odio nec arcu. Praesent vestibulum dapibus nibh. Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Phasellus dolor.</p>
<a href=""#"">Buy now</a>
</div>
</div>
<div class=""col-md-6""><a><img src=""//cdn.shopify.com/s/files/1/0291/8242/7276/files/product-detail-2.jpg?v=1577700475"" alt=""""> </a></div>
</div>
</div>",Floril,"","$200-$300, LightYellow, Orange, PaleVioletRed, Pink",true,Title,Default Title,,,,,"",0,shopify,0,deny,manual,200.00,205.00,true,true,"",https://cdn.shopify.com/s/files/1/0356/9595/2004/products/5_77e7fca5-6b79-4ac6-b663-fb444f263468.jpg?v=1583977483,1,,false,,,,,,,,,,,,,,,,,kg,,
